 2017-03-02 17:25:39,291 [P14500/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on KASPAR
 2017-03-02 17:25:39,325 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-03-02 17:25:39,351 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 25ms)
 2017-03-02 17:25:39,443 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-03-02 17:25:40,556 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1112ms)
 2017-03-02 17:25:40,876 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-03-02 17:25:40,878 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-03-02 17:25:40,878 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-03-02 17:25:40,881 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-03-02 17:25:40,914 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-03-02 17:25:41,004 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 90ms)
 2017-03-02 17:25:41,008 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-03-02 17:25:41,155 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 145ms)
 2017-03-02 17:25:41,414 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-03-02 17:25:41,415 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-03-02 17:25:41,416 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-03-02 17:25:41,418 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 2ms)
 2017-03-02 17:25:46,414 [P14500/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-02 17:25:47,069 [P14500/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-02 17:25:47,093 [P14500/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-02 17:25:47,455 [P14500/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-03-02 17:25:48,059 [P14500/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-03-02 17:25:48,060 [P14500/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-03-02 17:25:48,074 [P14500/D2/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2017-03-02 17:25:48,120 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-03-02 17:25:48,124 [P14500/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 3ms)
 2017-03-02 17:25:48,655 [P14500/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 9479ms)
 2017-03-02 17:25:55,039 [P14500/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62197/umbraco (UmbracoModule request)
 2017-03-02 17:25:56,094 [P14500/D2/T12] INFO  umbraco.content - Load Xml from file...
 2017-03-02 17:25:56,104 [P14500/D2/T12] INFO  umbraco.content - Loaded Xml from file.
 2017-03-02 17:25:59,175 [P14500/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-03-02 17:25:59,177 [P14500/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
